dataset,record_id,source_path,hypnogram_path,artifact_dir,failure_path,recording_db_id,n_epochs,valid_ratio
dodh,095d6e40-5f19-55b6-a0ec-6e0ad3793da0,/home/andy/Datasets/dodh/dodh/095d6e40-5f19-55b6-a0ec-6e0ad3793da0.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/095d6e40-5f19-55b6-a0ec-6e0ad3793da0.failure.json,,0,0.0
dodh,0d79f4b1-e74f-5e87-8e42-f9dd7112ada5,/home/andy/Datasets/dodh/dodh/0d79f4b1-e74f-5e87-8e42-f9dd7112ada5.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/0d79f4b1-e74f-5e87-8e42-f9dd7112ada5.failure.json,,0,0.0
dodh,119f9726-eb4c-5a0e-a7bb-9e15256149a1,/home/andy/Datasets/dodh/dodh/119f9726-eb4c-5a0e-a7bb-9e15256149a1.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/119f9726-eb4c-5a0e-a7bb-9e15256149a1.failure.json,,0,0.0
dodh,14c012bd-65b0-56f5-bc74-2dffcea69837,/home/andy/Datasets/dodh/dodh/14c012bd-65b0-56f5-bc74-2dffcea69837.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/14c012bd-65b0-56f5-bc74-2dffcea69837.failure.json,,0,0.0
dodh,18ede714-aba3-5ad8-bb1a-18fc9b1c4192,/home/andy/Datasets/dodh/dodh/18ede714-aba3-5ad8-bb1a-18fc9b1c4192.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/18ede714-aba3-5ad8-bb1a-18fc9b1c4192.failure.json,,0,0.0
dodh,1da3544e-dc5c-5795-adc3-f5068959211f,/home/andy/Datasets/dodh/dodh/1da3544e-dc5c-5795-adc3-f5068959211f.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/1da3544e-dc5c-5795-adc3-f5068959211f.failure.json,,0,0.0
dodh,1fa6c401-d819-50f5-8146-a0bb9e2b2516,/home/andy/Datasets/dodh/dodh/1fa6c401-d819-50f5-8146-a0bb9e2b2516.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/1fa6c401-d819-50f5-8146-a0bb9e2b2516.failure.json,,0,0.0
dodh,25a6b2b0-4d09-561b-82c6-f09bb271d3be,/home/andy/Datasets/dodh/dodh/25a6b2b0-4d09-561b-82c6-f09bb271d3be.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/25a6b2b0-4d09-561b-82c6-f09bb271d3be.failure.json,,0,0.0
dodh,37d0da97-9ae8-5413-b889-4e843ff35488,/home/andy/Datasets/dodh/dodh/37d0da97-9ae8-5413-b889-4e843ff35488.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/37d0da97-9ae8-5413-b889-4e843ff35488.failure.json,,0,0.0
dodh,3e842aa8-bcd9-521e-93a2-72124233fe2c,/home/andy/Datasets/dodh/dodh/3e842aa8-bcd9-521e-93a2-72124233fe2c.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/3e842aa8-bcd9-521e-93a2-72124233fe2c.failure.json,,0,0.0
dodh,5bf0f969-304c-581e-949c-50c108f62846,/home/andy/Datasets/dodh/dodh/5bf0f969-304c-581e-949c-50c108f62846.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/5bf0f969-304c-581e-949c-50c108f62846.failure.json,,0,0.0
dodh,64959ac4-53b5-5868-a845-c7476e9fdf7b,/home/andy/Datasets/dodh/dodh/64959ac4-53b5-5868-a845-c7476e9fdf7b.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/64959ac4-53b5-5868-a845-c7476e9fdf7b.failure.json,,0,0.0
dodh,67fa8e29-6f4d-530e-9422-bbc3aca86ed0,/home/andy/Datasets/dodh/dodh/67fa8e29-6f4d-530e-9422-bbc3aca86ed0.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/67fa8e29-6f4d-530e-9422-bbc3aca86ed0.failure.json,,0,0.0
dodh,769df255-2284-50b3-8917-2155c759fbbd,/home/andy/Datasets/dodh/dodh/769df255-2284-50b3-8917-2155c759fbbd.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/769df255-2284-50b3-8917-2155c759fbbd.failure.json,,0,0.0
dodh,7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf,/home/andy/Datasets/dodh/dodh/7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf.failure.json,,0,0.0
dodh,7d778801-88e7-5086-ad1d-70f31a371876,/home/andy/Datasets/dodh/dodh/7d778801-88e7-5086-ad1d-70f31a371876.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/7d778801-88e7-5086-ad1d-70f31a371876.failure.json,,0,0.0
dodh,844f68ba-265e-53e6-bf47-6c85d1804a7b,/home/andy/Datasets/dodh/dodh/844f68ba-265e-53e6-bf47-6c85d1804a7b.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/844f68ba-265e-53e6-bf47-6c85d1804a7b.failure.json,,0,0.0
dodh,a25b2296-343b-53f6-8792-ada2669d466e,/home/andy/Datasets/dodh/dodh/a25b2296-343b-53f6-8792-ada2669d466e.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/a25b2296-343b-53f6-8792-ada2669d466e.failure.json,,0,0.0
dodh,a30245e3-4a71-565f-9636-92e7d2e825fc,/home/andy/Datasets/dodh/dodh/a30245e3-4a71-565f-9636-92e7d2e825fc.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/a30245e3-4a71-565f-9636-92e7d2e825fc.failure.json,,0,0.0
dodh,a4568951-bf87-5bbc-bc4f-28e93c360be6,/home/andy/Datasets/dodh/dodh/a4568951-bf87-5bbc-bc4f-28e93c360be6.h5,/hypnogram,,/home/andy/Projects/Noctis/out/pre_ingest_fullcheck/dodh/failures/a4568951-bf87-5bbc-bc4f-28e93c360be6.failure.json,,0,0.0
